OrderID,ProductID,Quantity,UnitPrice,Discount,Sales,Profit,OrderDate
O5000,P1070,7,6024.93,0.15,35848.33,17832.08,2024-06-17
O5001,P1007,7,29458.23,0.15,175276.47,41206.73,2024-02-15
O5001,P1008,4,4819.76,0.0,19279.04,10819.12,2024-02-15
O5002,P1060,3,13348.69,0.0,40046.07,10599.0,2022-09-05
O5003,P1062,7,1464.14,0.05,9736.53,-120078.89,2023-04-27
O5004,P1073,4,20265.78,0.1,72956.81,19114.53,2023-01-07
O5004,P1055,7,10322.2,0.15,61417.09,33462.73,2023-01-07
O5004,P1045,1,1585.86,0.0,1585.86,118.15,2023-01-07
O5004,P1063,1,29513.46,0.0,29513.46,15520.95,2023-01-07
O5005,P1001,6,9783.71,0.0,58702.26,30984.84,2022-02-01
O5005,P1044,7,30704.86,0.1,193440.62,67354.1,2022-02-01
O5005,P1052,6,8653.84,0.0,51923.04,1884.06,2022-02-01
O5005,P1019,5,31254.04,0.05,148456.69,79679.89,2022-02-01
O5006,P1008,8,4819.76,0.0,38558.08,21638.24,2022-01-18
O5006,P1040,2,4769.04,0.0,9538.08,4053.78,2022-01-18
O5006,P1002,4,13034.37,0.0,52137.48,4570.48,2022-01-18
O5007,P1062,5,6623.58,0.0,33117.9,-59607.4,2023-04-03
O5007,P1006,6,21642.83,0.05,123364.13,39225.17,2023-04-03
O5007,P1019,2,31254.04,0.0,62508.08,34997.36,2023-04-03
O5008,P1028,4,2337.44,0.1,8414.78,2583.38,2022-09-09
O5008,P1058,9,24046.34,0.15,183954.5,65942.27,2022-09-09
O5009,P1069,1,24311.57,0.15,20664.83,,2023-04-07
O5009,P1030,6,29497.4,0.05,168135.18,81313.44,2023-04-07
O5010,P1064,9,18383.36,0.15,140632.7,10812.38,2022-10-06
O5011,P1031,4,23794.28,0.0,95177.12,33504.12,2024-11-03
O5012,P1017,7,7561.91,0.0,52933.37,27813.52,2024-08-20
O5013,P1011,7,32361.01,0.0,226527.07,110171.6,2024-09-23
O5013,P1019,10,31254.04,0.1,281286.36,143732.76,2024-09-23
O5014,P1065,2,36625.4,0.0,73250.8,34489.9,2024-06-07
O5014,P1015,10,10193.43,0.0,101934.3,26638.5,2024-06-07
O5014,P1051,6,4146.72,0.1,22392.29,9986.39,2024-06-07
O5014,P1073,4,20265.78,0.0,81063.12,27220.84,2024-06-07
O5015,P1042,2,39883.39,0.1,71790.1,34605.12,2022-08-20
O5015,P1070,7,6024.93,0.1,37957.06,19940.81,2022-08-20
O5015,P1010,5,31126.4,0.2,124505.6,27167.15,2022-08-20
O5015,P1066,3,17004.58,0.0,51013.74,5983.98,2022-08-20
O5015,P1042,10,39883.39,0.15,339008.82,153083.92,2022-08-20
O5016,P1028,4,2337.44,0.0,9349.76,3518.36,2023-02-10
O5016,P1016,1,37297.53,0.1,33567.78,14822.02,2023-02-10
O5017,P1005,3,13217.5,0.05,37669.88,10386.86,2023-05-07
O5017,P1063,4,29513.46,0.0,118053.84,62083.8,2023-05-07
O5017,P1072,4,21256.54,0.0,85026.16,37999.32,2023-05-07
O5018,P1025,5,29286.7,0.0,146433.5,56549.05,2022-06-26
O5019,P1029,10,-9590.58,0.0,-95905.8,44125.8,2024-10-17
O5019,P1015,1,10193.43,0.0,10193.43,2663.85,2024-10-17
O5020,P1064,4,18383.36,0.2,58826.75,1128.83,2022-08-29
O5021,P1001,8,9783.71,0.15,66529.23,29572.67,2022-06-09
O5022,P1002,6,13034.37,0.1,70385.6,-964.9,2024-05-23
O5022,P1026,10,12159.28,0.0,121592.8,18706.6,2024-05-23
O5022,P1004,2,12084.98,0.15,20544.47,-8209.91,2024-05-23
O5022,P1024,4,16191.61,0.0,64766.44,19506.08,2024-05-23
O5023,P1066,7,17004.58,0.05,113080.46,8011.02,2022-09-06
O5024,P1063,7,29513.46,0.0,206594.22,108646.65,2022-11-20
O5024,P1042,9,39883.39,0.15,305107.93,137775.52,2022-11-20
O5025,P1050,6,20911.97,0.0,125471.82,68118.48,2024-08-08
O5025,P1068,4,22417.61,0.2,71736.35,-5157.33,2024-08-08
O5025,P1009,4,34111.64,0.0,136446.56,71722.0,2024-08-08
O5025,P1004,3,8708.37,0.1,23512.6,-19618.97,2024-08-08
O5026,P1043,4,15885.13,0.0,63540.52,38052.6,2024-01-24
O5026,P1042,9,39883.39,0.2,287160.41,119828.0,2024-01-24
O5026,P1066,9,17004.58,0.1,137737.1,2647.82,2024-01-24
O5026,P1023,3,13315.79,0.1,35952.63,8096.82,2024-01-24
O5026,P1047,8,1681.15,0.05,12776.74,500.5,2024-01-24
O5027,P1054,4,32319.73,0.15,109887.08,51412.56,2022-03-07
O5027,P1065,4,36625.4,0.2,117201.28,39679.48,2022-03-07
O5028,P1030,8,29497.4,0.2,188783.36,73021.04,2022-01-07
O5029,P1035,3,6954.57,0.15,17734.15,8055.49,2024-02-12
O5030,P1005,4,13217.5,0.0,52870.0,16492.64,2022-01-23
O5031,P1022,1,12863.72,0.0,12863.72,6433.1,2022-05-10
O5031,P1037,10,3806.79,0.0,38067.9,13918.1,2022-05-10
O5032,P1037,4,3806.79,0.0,15227.16,5567.24,2022-02-15
O5033,P1045,6,1585.86,0.0,9515.16,708.9,2022-07-04
O5034,P1064,7,18383.36,0.05,122249.34,21277.98,2023-11-28
O5035,P1061,3,3643.62,0.2,8744.69,-1634.77,2023-09-23
O5036,P1026,8,12159.28,0.05,92410.53,10101.57,2024-01-20
O5036,P1001,5,9783.71,0.0,48918.55,25820.7,2024-01-20
O5037,P1034,1,12074.71,0.1,10867.24,,2024-06-06
O5038,P1021,7,7311.6,0.2,40944.96,30371.25,2024-12-02
O5038,P1048,1,15090.78,0.0,15090.78,4710.49,2024-12-02
O5039,P1024,3,16191.61,0.15,41288.61,,2023-04-28
O5039,P1052,7,17183.54,0.0,120284.78,61905.97,2023-04-28
O5040,P1000,2,13970.08,0.0,27940.16,2218.86,2022-09-18
O5040,P1018,5,19165.88,0.1,86246.46,47680.36,2022-09-18
O5041,P1011,10,32361.01,0.0,323610.1,157388.0,2022-01-06
O5041,P1011,2,32361.01,0.05,61485.92,28241.5,2022-01-06
O5042,P1029,6,9590.58,0.1,51789.13,20721.13,2022-06-24
O5043,P1066,6,17004.58,0.15,86723.36,-3336.16,2023-05-22
O5043,P1040,1,4769.04,0.1,4292.14,1549.99,2023-05-22
O5043,P1054,8,32319.73,0.0,258557.84,141608.8,2023-05-22
O5044,P1020,2,36522.95,0.05,69393.6,36450.22,2022-12-21
O5044,P1041,4,12612.55,0.1,45405.18,23612.7,2022-12-21
O5045,P1049,7,22828.96,0.0,159802.72,83664.91,2023-04-18
O5046,P1000,9,13970.08,0.0,125730.72,9984.87,2022-11-21
O5046,P1034,8,12074.71,0.0,96597.68,47724.0,2022-11-21
O5046,P1022,5,12863.72,0.0,64318.6,32165.5,2022-11-21
O5046,P1040,1,4769.04,0.05,4530.59,1788.44,2022-11-21
O5047,P1008,2,4819.76,0.1,8675.57,4445.61,2022-09-20
O5047,P1003,9,9242.91,0.15,70708.26,27448.05,2022-09-20
O5047,P1032,5,3513.77,0.05,16690.41,32.81,2022-09-20
O5048,P1007,3,29458.23,0.0,88374.69,30916.23,2022-02-26
O5048,P1023,8,13315.79,0.0,106526.32,32244.16,2022-02-26
O5048,P1018,8,19165.88,0.0,153327.04,91621.28,2022-02-26
O5049,P1043,7,15885.13,0.1,100076.32,55472.46,2022-12-19
O5050,P1054,1,32319.73,0.1,29087.76,14469.13,2022-12-26
O5051,P1071,4,23321.68,0.0,93286.72,45400.8,2023-07-15
O5051,P1016,3,37297.53,0.1,100703.33,44466.05,2023-07-15
O5052,P1015,10,10193.43,0.2,81547.44,6251.64,2022-12-10
O5052,P1033,6,27304.43,0.2,131061.26,39340.16,2022-12-10
O5052,P1017,4,7561.91,0.0,30247.64,15893.44,2022-12-10
O5053,P1027,9,4135.98,0.0,37223.82,8187.48,2022-01-10
O5054,P1051,1,4146.72,0.1,3732.05,1664.4,2022-10-31
O5054,P1062,3,2848.78,0.2,6837.07,-48798.11,2022-10-31
O5054,P1074,1,5543.63,0.1,4989.27,2197.88,2022-10-31
O5054,P1054,5,32319.73,0.1,145438.78,72345.63,2022-10-31
O5054,P1060,2,13348.69,0.0,26697.38,7066.0,2022-10-31
O5055,P1063,10,29513.46,0.1,265621.14,125696.04,2024-09-27
O5056,P1034,5,12074.71,0.15,51317.52,20771.47,2022-10-05
O5057,P1017,8,7561.91,0.0,60495.28,31786.88,2023-10-26
O5057,P1037,2,3806.79,0.15,6471.54,1641.58,2023-10-26
O5058,P1046,5,269.55,0.0,1347.75,-57907.8,2024-04-02
O5059,P1021,1,7538.89,0.0,7538.89,6028.36,2024-06-07
O5059,P1036,2,35273.31,0.0,70546.62,33774.28,2024-06-07
O5060,P1029,6,9590.58,0.0,57543.48,26475.48,2023-06-10
O5060,P1043,7,15885.13,0.0,111195.91,66592.05,2023-06-10
O5061,P1033,1,27304.43,0.05,25939.21,10652.36,2022-02-17
O5061,P1028,5,2337.44,0.0,11687.2,4397.95,2022-02-17
O5061,P1041,10,12612.55,0.2,100900.4,46419.2,2022-02-17
O5062,P1040,8,4769.04,0.1,34337.09,12399.89,2022-09-04
O5063,P1012,5,12359.52,0.0,61797.6,41761.05,2023-03-14
O5063,P1019,1,31254.04,0.05,29691.34,15935.98,2023-03-14
O5063,P1055,10,10738.88,0.0,107388.8,67454.0,2023-03-14
O5063,P1068,2,22417.61,0.05,42593.46,4146.62,2023-03-14
O5063,P1039,7,32810.16,0.0,229671.12,,2023-03-14
O5064,P1010,9,31126.4,0.0,280137.6,104928.39,
O5065,P1045,1,1585.86,0.1,1427.27,-40.44,2024-02-09
O5065,P1048,10,15090.78,0.0,150907.8,47104.9,2024-02-09
O5065,P1054,10,32319.73,0.0,323197.3,177011.0,2024-02-09
O5066,P1016,7,-37297.53,0.1,-234974.44,103754.12,2023-06-09
O5066,P1067,9,23222.13,0.2,167199.34,75791.38,2023-06-09
O5066,P1065,4,36625.4,0.0,146501.6,68979.8,2023-06-09
O5067,P1034,3,12074.71,0.0,36224.13,17896.5,2024-10-01
O5068,P1056,9,6595.97,0.0,59363.73,24866.19,2022-08-27
O5068,P1070,3,6024.93,0.0,18074.79,10353.54,2022-08-27
O5068,P1036,1,35273.31,0.0,35273.31,16887.14,2022-08-27
O5068,P1062,6,12184.9,0.05,69453.93,-41816.43,2022-08-27
O5069,P1008,2,4819.76,0.0,9639.52,5409.56,2023-09-10
O5069,P1037,2,3806.79,0.2,6090.86,1260.9,2023-09-10
O5070,P1072,6,21256.54,0.0,127539.24,56998.98,2023-11-17
O5070,P1031,10,23794.28,0.05,226045.66,71863.16,2023-11-17
O5071,P1037,5,3806.79,0.15,16178.86,4103.96,2024-07-25
O5071,P1047,2,1681.15,0.2,2689.84,-379.22,2024-07-25
O5071,P1027,8,4135.98,0.0,33087.84,7277.76,2024-07-25
O5072,P1049,6,22828.96,0.0,136973.76,71712.78,2023-07-23
O5072,P1029,1,9590.58,0.2,7672.46,2494.46,2023-07-23
O5073,P1004,1,1743.09,0.15,1481.63,-12895.56,2024-04-30
O5073,P1057,6,10123.45,0.2,48592.56,-48600.48,2024-04-30
O5073,P1053,2,26105.52,0.0,52211.04,25934.2,2024-04-30
O5073,P1070,8,6024.93,0.2,38559.55,17969.55,2024-04-30
O5074,P1037,6,3806.79,0.2,18272.59,3782.71,2022-09-20
O5075,P1060,2,13348.69,0.2,21357.9,1726.52,2024-08-22
O5076,P1019,2,31254.04,0.2,50006.46,22495.74,2022-12-30
O5077,P1003,9,9242.91,0.05,79026.88,35766.67,2023-08-13
O5078,P1042,9,39883.39,0.0,358950.51,191618.1,2023-03-01
O5079,P1031,2,23794.28,0.1,42829.7,11993.2,2023-11-20
O5080,P1062,6,12608.52,0.05,71868.56,-39401.8,2024-08-18
O5080,P1073,7,20265.78,0.0,141860.46,47636.47,2024-08-18
