order_id,customer_id,product_id,order_date,shipping_date,delivery_date,quantity,sales,profit,discount,shipping_mode,payment_mode
ORD00193013,CUST012301,PROD01014,01-01-2020,03-01-2020,06-01-2020,1,7699.3,725.05,0.1437,Economy,Credit Card
ORD00059592,CUST010553,PROD01031,01-01-2020,04-01-2020,07-01-2020,2,9798.6,1889.89,0.2906,Express,Debit Card
ORD00148475,CUST012828,PROD01015,01-01-2020,03-01-2020,06-01-2020,1,30093,4368.15,0.2987,Economy,Debit Card
ORD00210102,CUST012077,PROD01008,02-01-2020,05-01-2020,09-01-2020,2,34998.6,3349.85,0.2786,Express,COD
ORD00146983,CUST013032,PROD01029,02-01-2020,03-01-2020,06-01-2020,2,100660,16357.86,0.1144,Express,Credit Card
ORD00153552,CUST010484,PROD01044,02-01-2020,04-01-2020,08-01-2020,1,38493,7473.47,0.1975,Standard,COD
ORD00099603,CUST013467,PROD01005,02-01-2020,04-01-2020,10-01-2020,1,45499.3,5335.9,0.1674,Economy,UPI
ORD00150956,CUST014075,PROD01054,02-01-2020,03-01-2020,08-01-2020,2,62998.6,13571.24,0.2399,Express,COD
ORD00194033,CUST010280,PROD01056,02-01-2020,05-01-2020,09-01-2020,2,19598.6,3369.11,0.1201,Standard,Net Banking
ORD00183403,CUST011229,PROD01005,02-01-2020,04-01-2020,07-01-2020,1,45499.3,4961.18,0.0635,Express,UPI
ORD00160991,CUST013409,PROD01017,02-01-2020,05-01-2020,10-01-2020,1,27293,2023.78,0.1165,Standard,COD
ORD00146959,CUST014322,PROD01045,02-01-2020,04-01-2020,11-01-2020,1,23093,5265.97,0.2165,Standard,Debit Card
ORD00060334,CUST011779,PROD01039,02-01-2020,05-01-2020,08-01-2020,1,16799.3,3530.16,0.1657,Same Day,Wallet
ORD00214938,CUST010663,PROD01054,03-01-2020,04-01-2020,10-01-2020,1,31499.3,5473.98,0.2013,Express,Credit Card
ORD00243761,CUST012377,PROD01024,03-01-2020,05-01-2020,10-01-2020,1,39893,3676.41,0.2082,Same Day,Credit Card
ORD00166104,CUST011729,PROD01051,03-01-2020,05-01-2020,07-01-2020,2,41998.6,9388.43,0.1455,Standard,COD
