order_id,customer_id,product_id,order_date,shipping_date,delivery_date,quantity,sales,profit,discount,shipping_mode,payment_mode
ORD00069667,CUST014101,PROD01016,2021-06-17,2021-06-22,2021-06-23,3,164970.0,19218.35,5500.1,Same Day,Wallet
ORD00194483,CUST014957,PROD01044,2024-08-23,2024-08-25,2024-09-07,2,109980.0,18127.85,22671.0,Economy,Credit Card
ORD00242578,CUST010355,PROD01050,2025-02-07,2025-02-11,2025-02-11,1,31999.0,5441.79,541.15,Same Day,Net Banking
ORD00114867,CUST012416,PROD01015,2022-11-09,2022-11-11,2022-11-21,2,85980.0,6349.49,14291.15,Economy,UPI
ORD00185534,CUST010080,PROD01014,2024-06-25,2024-06-27,2024-07-02,2,21998.0,1656.76,2857.33,Standard,Credit Card
ORD00198945,CUST010183,PROD01001,2024-05-15,2024-05-16,2024-05-22,1,54999.0,4579.59,9791.77,Standard,COD
ORD00065705,CUST011271,PROD01001,2021-10-06,2021-10-11,2021-10-17,2,109998.0,7394.44,35153.14,Standard,COD
ORD00119667,CUST013919,PROD01001,2023-10-02,2023-10-06,2023-10-07,1,54999.0,4504.32,11564.63,Express,Credit Card
ORD00241250,CUST010903,PROD01026,2025-01-23,2025-01-28,2025-02-03,2,111998.0,12954.81,16802.02,Standard,Wallet
ORD00194213,CUST012942,PROD01005,2024-07-04,2024-07-07,2024-07-13,1,64999.0,8179.7,10005.54,Standard,Credit Card
ORD00134444,CUST011436,PROD01037,2023-05-26,2023-05-30,2023-06-02,3,3897.0,944.0,555.29,Express,Wallet
ORD00160133,CUST012054,PROD01048,2023-01-23,2023-01-24,2023-01-27,1,39999.0,6959.05,2082.69,Express,Debit Card
ORD00242668,CUST011348,PROD01014,2025-01-27,2025-01-31,2025-02-08,1,10999.0,907.79,2294.69,Economy,Credit Card
ORD00174194,CUST010690,PROD01006,2024-07-30,2024-07-31,2024-08-07,1,27999.0,2008.11,5357.72,Standard,COD
ORD00221949,CUST014431,PROD01019,2024-06-26,2024-06-30,2024-07-09,2,89980.0,7875.02,21813.78,Economy,UPI
ORD00074300,CUST012355,PROD01034,2021-12-19,2021-12-22,2022-01-05,1,2999.0,801.72,389.08,Economy,Debit Card
ORD00125430,CUST013829,PROD01056,2023-08-10,2023-08-12,2023-08-24,1,13999.0,3309.68,2298.16,Economy,COD
ORD00214654,CUST014474,PROD01033,2024-12-13,2024-12-14,2024-12-20,2,49800.0,11569.89,10392.4,Standard,Wallet
ORD00092610,CUST014764,PROD01050,2022-03-14,2022-03-17,2022-03-30,1,31999.0,4432.92,285.64,Economy,Credit Card
ORD00181192,CUST012521,PROD01049,2024-06-24,2024-06-27,2024-06-28,1,14999.0,1853.88,105.41,Express,Credit Card
ORD00234033,CUST011283,PROD01027,2025-02-22,2025-02-24,2025-02-25,2,27998.0,4057.12,4131.7,Express,UPI
ORD00084292,CUST011839,PROD01016,2021-07-04,2021-07-07,2021-07-07,3,164970.0,13873.29,24484.51,Same Day,Wallet
ORD00210955,CUST012288,PROD01060,2024-09-20,2024-09-25,2024-09-26,1,2999.0,643.48,307.25,Express,UPI
ORD00233289,CUST011538,PROD01020,2025-02-01,2025-02-03,2025-02-07,2,185980.0,20584.68,22295.62,Standard,UPI
ORD00122456,CUST013611,PROD01002,2023-10-18,2023-10-20,2023-10-27,1,14999.0,969.46,3424.24,Economy,UPI
ORD00212621,CUST013137,PROD01033,2024-11-15,2024-11-19,2024-11-20,2,49800.0,11115.76,6569.65,Same Day,COD
ORD00068357,CUST010339,PROD01028,2021-11-07,2021-11-12,2021-11-23,1,14999.0,1410.38,4219.85,Economy,COD
ORD00156262,CUST010595,PROD01011,2023-09-15,2023-09-19,2023-09-24,2,89998.0,11517.32,3643.97,Standard,Wallet
ORD00075158,CUST010876,PROD01001,2021-01-29,2021-01-30,2021-01-31,1,54999.0,4342.75,1589.62,Same Day,Wallet
ORD00147718,CUST012980,PROD01042,2023-04-06,2023-04-11,2023-04-12,1,9999.0,1493.59,1852.88,Same Day,Debit Card
ORD00065794,CUST013706,PROD01029,2021-02-13,2021-02-15,2021-02-16,1,71900.0,10032.12,5497.46,Express,COD
ORD00180561,CUST014714,PROD01030,2024-02-14,2024-02-19,2024-03-01,1,24990.0,6806.47,4368.52,Economy,Net Banking
ORD00223027,CUST011575,PROD01011,2025-01-11,2025-01-12,2025-01-19,2,89998.0,12131.6,4106.33,Standard,Net Banking
ORD00071261,CUST014012,PROD01027,2021-05-13,2021-05-16,2021-05-19,3,41997.0,6408.7,4718.17,Express,Net Banking
ORD00224096,CUST014763,PROD01054,2025-02-04,2025-02-08,2025-02-09,3,134997.0,15632.56,16396.36,Same Day,Wallet
ORD00098342,CUST011975,PROD01011,2022-12-17,2022-12-19,2022-12-20,1,44999.0,5722.44,1247.1,Same Day,Net Banking
ORD00148988,CUST012239,PROD01015,2023-11-23,2023-11-27,2023-11-29,1,42990.0,2898.29,13708.69,Express,UPI
ORD00067508,CUST011293,PROD01047,2021-04-22,2021-04-24,2021-04-25,1,31999.0,5081.03,4259.72,Same Day,Wallet
ORD00209525,CUST013510,PROD01013,2024-06-30,2024-07-03,2024-07-07,1,129900.0,20051.07,11390.4,Standard,Credit Card
ORD00231937,CUST011957,PROD01064,2025-01-20,2025-01-25,2025-01-28,3,11985.0,2443.02,1996.06,Express,Credit Card
ORD00147144,CUST014761,PROD01014,2023-02-17,2023-02-20,2023-02-21,2,21998.0,1510.38,3859.63,Express,Debit Card
ORD00240066,CUST011490,PROD01018,2025-01-07,2025-01-08,2025-01-13,1,46990.0,5955.78,3110.45,Standard,Wallet
ORD00079004,CUST010175,PROD01001,2021-06-24,2021-06-26,2021-07-09,1,54999.0,7783.34,1877.54,Economy,Credit Card
ORD00197867,CUST014781,PROD01054,2024-05-25,2024-05-28,2024-05-31,2,89998.0,9917.61,11634.23,Express,Wallet
ORD00224087,CUST011811,PROD01040,2025-01-20,2025-01-21,2025-01-23,1,6999.0,844.73,1150.71,Express,UPI
ORD00169040,CUST013801,PROD01036,2024-04-07,2024-04-09,2024-04-12,1,15990.0,4019.31,644.5,Express,UPI
ORD00120750,CUST011419,PROD01003,2023-12-23,2023-12-27,2023-12-30,1,79900.0,10725.7,1803.51,Express,Credit Card
ORD00084642,CUST010280,PROD01046,2021-12-10,2021-12-15,2021-12-18,1,104990.0,12550.7,492.71,Express,Debit Card
ORD00074607,CUST012758,PROD01064,2021-04-01,2021-04-06,2021-04-07,1,3995.0,724.87,915.78,Same Day,COD
ORD00234199,CUST013681,PROD01005,2025-01-16,2025-01-17,2025-01-18,1,64999.0,6774.73,11864.73,Express,Credit Card
ORD00106845,CUST011367,PROD01019,2022-12-29,2022-12-31,2023-01-02,1,44990.0,5101.86,3205.63,Express,Debit Card
ORD00206370,CUST013508,PROD01018,2024-05-22,2024-05-24,2024-05-31,1,46990.0,4046.03,7385.81,Standard,Credit Card
ORD00133182,CUST010107,PROD01041,2023-10-20,2023-10-24,2023-10-26,2,6998.0,632.67,2745.27,Express,Net Banking
ORD00219618,CUST011873,PROD01001,2024-10-11,2024-10-13,2024-10-24,1,54999.0,3571.18,19006.06,Economy,Wallet
ORD00073720,CUST014107,PROD01060,2021-03-11,2021-03-16,2021-03-19,1,2999.0,802.31,614.3,Express,Debit Card
ORD00168302,CUST014073,PROD01032,2024-09-20,2024-09-23,2024-09-25,1,1499.0,304.66,57.5,Express,Wallet
ORD00192065,CUST012088,PROD01064,2024-10-19,2024-10-22,2024-10-25,2,7990.0,1048.58,3184.26,Express,Credit Card
ORD00196422,CUST012092,PROD01019,2024-10-07,2024-10-11,2024-10-11,1,44990.0,4181.68,13050.87,Same Day,COD
ORD00143656,CUST011826,PROD01015,2023-12-06,2023-12-11,2023-12-12,2,85980.0,9156.11,20966.59,Express,Net Banking
ORD00105676,CUST013997,PROD01023,2022-01-02,2022-01-04,2022-01-11,1,84990.0,5970.28,12498.48,Standard,UPI
ORD00058148,CUST012271,PROD01029,2020-03-30,2020-04-04,2020-04-13,1,71900.0,10916.53,2596.11,Economy,COD
ORD00075585,CUST011720,PROD01061,2021-05-18,2021-05-19,2021-05-27,1,49990.0,5959.78,10985.24,Economy,Debit Card
ORD00188230,CUST011826,PROD01050,2024-05-16,2024-05-20,2024-05-20,4,127996.0,23609.06,5522.11,Same Day,Wallet
