return_id,order_id,product_id,reason
RET000003,ORD00050036,PROD01058,Wrong item received
RET000013,ORD00050216,PROD01053,Changed mind
RET000024,ORD00050377,PROD01046,Quality issues
RET000037,ORD00050504,PROD01050,Changed mind
RET000038,ORD00050509,PROD01049,Wrong item received
RET000040,ORD00050516,PROD01027,Changed mind
RET000041,ORD00050517,PROD01024,Size/compatibility issue
RET000045,ORD00050568,PROD01021,Product not as described
RET000046,ORD00050568,PROD01019,Quality issues
RET000054,ORD00050677,PROD01061,Product not as described
RET000055,ORD00050683,PROD01043,Quality issues
RET000057,ORD00050686,PROD01027,Size/compatibility issue
RET000060,ORD00050739,PROD01027,Changed mind
RET000062,ORD00050743,PROD01017,Ordered by mistake
RET000065,ORD00050763,PROD01015,Damaged during shipping
RET000069,ORD00050789,PROD01058,Defective product
RET000075,ORD00050857,PROD01048,Damaged during shipping
RET000081,ORD00050894,PROD01030,Product not as described
RET000084,ORD00050908,PROD01064,Ordered by mistake
RET000089,ORD00050938,PROD01057,Late delivery
RET000090,ORD00051004,PROD01012,Defective product
RET000093,ORD00051035,PROD01057,Late delivery
RET000095,ORD00051054,PROD01014,Damaged during shipping
RET000096,ORD00051054,PROD01009,Changed mind
RET000104,ORD00051134,PROD01047,Quality issues
RET000111,ORD00051196,PROD01046,Ordered by mistake
RET000114,ORD00051229,PROD01007,Defective product
RET000115,ORD00051232,PROD01010,Size/compatibility issue
RET000116,ORD00051240,PROD01016,Size/compatibility issue
RET000126,ORD00051331,PROD01034,Product not as described
RET000132,ORD00051373,PROD01064,Wrong item received
RET000133,ORD00051398,PROD01036,Late delivery
RET000134,ORD00051400,PROD01031,Product not as described
RET000140,ORD00051439,PROD01045,Quality issues
RET000153,ORD00051557,PROD01022,Better price available
RET000163,ORD00051638,PROD01052,Product not as described
RET000164,ORD00051639,PROD01013,Better price available
RET000165,ORD00051647,PROD01053,Product not as described
RET000175,ORD00051701,PROD01006,Changed mind
RET000179,ORD00051771,PROD01040,Wrong item received
RET000185,ORD00051842,PROD01046,Wrong item received
RET000193,ORD00051968,PROD01025,Damaged during shipping
RET000199,ORD00052035,PROD01012,Product not as described
RET000202,ORD00052052,PROD01028,Late delivery
RET000216,ORD00052203,PROD01032,Better price available
RET000218,ORD00052217,PROD01022,Size/compatibility issue
RET000220,ORD00052268,PROD01032,Better price available
RET000222,ORD00052292,PROD01047,Changed mind
RET000225,ORD00052301,PROD01007,Size/compatibility issue
RET000231,ORD00052349,PROD01049,Defective product
RET000235,ORD00052406,PROD01054,Ordered by mistake
RET000240,ORD00052494,PROD01052,Damaged during shipping
RET000247,ORD00052593,PROD01045,Size/compatibility issue
RET000248,ORD00052613,PROD01028,Damaged during shipping
RET000250,ORD00052645,PROD01009,Size/compatibility issue
RET000251,ORD00052645,PROD01028,Late delivery
RET000254,ORD00052737,PROD01031,Quality issues
RET000257,ORD00052752,PROD01038,Ordered by mistake
RET000265,ORD00052858,PROD01006,Defective product
RET000267,ORD00052864,PROD01004,Size/compatibility issue
RET000274,ORD00052978,PROD01057,Quality issues
RET000276,ORD00052988,PROD01059,Damaged during shipping
RET000281,ORD00053039,PROD01037,Product not as described
RET000285,ORD00053085,PROD01036,Ordered by mistake
RET000286,ORD00053087,PROD01060,Product not as described
RET000291,ORD00053173,PROD01029,Size/compatibility issue
RET000306,ORD00053324,PROD01051,Better price available
RET000312,ORD00053353,PROD01015,Product not as described
RET000313,ORD00053353,PROD01049,Product not as described
RET000317,ORD00053397,PROD01018,Defective product
RET000369,ORD00054001,PROD01046,Product not as described
RET000370,ORD00054001,PROD01009,Changed mind
RET000371,ORD00054013,PROD01018,Wrong item received
RET000372,ORD00054016,PROD01036,Late delivery
RET000381,ORD00054097,PROD01022,Wrong item received
RET000397,ORD00054415,PROD01016,Changed mind
RET000398,ORD00054421,PROD01038,Product not as described
RET000404,ORD00054496,PROD01007,Better price available
RET000418,ORD00054665,PROD01035,Better price available
RET000423,ORD00054704,PROD01026,Ordered by mistake
RET000426,ORD00054777,PROD01011,Size/compatibility issue
RET000435,ORD00054861,PROD01027,Wrong item received
RET000439,ORD00054898,PROD01016,Wrong item received
RET000441,ORD00054914,PROD01039,Late delivery
RET000447,ORD00054970,PROD01038,Better price available
RET000468,ORD00055324,PROD01021,Changed mind
RET000473,ORD00055481,PROD01016,Better price available
RET000478,ORD00055543,PROD01023,Damaged during shipping
RET000489,ORD00055713,PROD01053,Quality issues
RET000491,ORD00055722,PROD01043,Late delivery
RET000500,ORD00055809,PROD01027,Better price available
RET000503,ORD00055839,PROD01062,Ordered by mistake
RET000510,ORD00055903,PROD01061,Better price available
RET000515,ORD00055918,PROD01019,Late delivery
RET000522,ORD00056036,PROD01003,Quality issues
RET000523,ORD00056045,PROD01017,Quality issues
RET000532,ORD00056110,PROD01044,Wrong item received
RET000535,ORD00056173,PROD01032,Changed mind
RET000550,ORD00056430,PROD01064,Damaged during shipping
RET000560,ORD00056486,PROD01004,Wrong item received
RET000567,ORD00056637,PROD01057,Changed mind
RET000578,ORD00056733,PROD01058,Damaged during shipping
RET000603,ORD00057012,PROD01043,Defective product
RET000606,ORD00057042,PROD01047,Product not as described
RET000608,ORD00057054,PROD01054,Better price available
RET000609,ORD00057068,PROD01061,Size/compatibility issue
RET000615,ORD00057166,PROD01011,Size/compatibility issue
RET000618,ORD00057205,PROD01029,Wrong item received
RET000620,ORD00057215,PROD01056,Changed mind
RET000621,ORD00057267,PROD01009,Damaged during shipping
RET000625,ORD00057315,PROD01059,Damaged during shipping
RET000626,ORD00057330,PROD01060,Defective product
RET000627,ORD00057343,PROD01054,Size/compatibility issue
RET000642,ORD00057522,PROD01003,Ordered by mistake
RET000644,ORD00057533,PROD01057,Damaged during shipping
RET000648,ORD00057579,PROD01044,Defective product
RET000650,ORD00057609,PROD01004,Changed mind
RET000659,ORD00057675,PROD01007,Changed mind
RET000664,ORD00057696,PROD01024,Better price available
RET000672,ORD00057792,PROD01029,Product not as described
RET000676,ORD00057832,PROD01024,Ordered by mistake
RET000685,ORD00057970,PROD01009,Changed mind
RET000686,ORD00057970,PROD01027,Size/compatibility issue
RET000688,ORD00058032,PROD01025,Product not as described
RET000693,ORD00058064,PROD01060,Wrong item received
RET000697,ORD00058087,PROD01036,Wrong item received
RET000703,ORD00058130,PROD01019,Ordered by mistake
RET000705,ORD00058152,PROD01016,Quality issues
RET000710,ORD00058252,PROD01022,Better price available
RET000718,ORD00058369,PROD01021,Defective product
RET000737,ORD00058518,PROD01020,Late delivery
RET000739,ORD00058530,PROD01063,Damaged during shipping
RET000747,ORD00058600,PROD01025,Defective product
RET000748,ORD00058602,PROD01008,Quality issues
RET000759,ORD00058723,PROD01056,Wrong item received
RET000768,ORD00058859,PROD01024,Changed mind
RET000771,ORD00058899,PROD01054,Quality issues
RET000772,ORD00058902,PROD01041,Better price available
RET000778,ORD00058948,PROD01017,Quality issues
RET000787,ORD00059018,PROD01017,Wrong item received
RET000790,ORD00059032,PROD01044,Ordered by mistake
RET000800,ORD00059117,PROD01013,Product not as described
RET000806,ORD00059197,PROD01059,Damaged during shipping
RET000808,ORD00059216,PROD01030,Product not as described
RET000813,ORD00059250,PROD01027,Defective product
RET000821,ORD00059324,PROD01050,Size/compatibility issue
RET000822,ORD00059336,PROD01005,Defective product
RET000829,ORD00059402,PROD01026,Ordered by mistake
RET000834,ORD00059475,PROD01010,Damaged during shipping
RET000838,ORD00059542,PROD01051,Damaged during shipping
RET000839,ORD00059560,PROD01005,Ordered by mistake
RET000842,ORD00059587,PROD01003,Damaged during shipping
RET000845,ORD00059624,PROD01004,Product not as described
RET000852,ORD00059729,PROD01061,Better price available
RET000856,ORD00059772,PROD01062,Damaged during shipping
RET000860,ORD00059823,PROD01023,Quality issues
RET000861,ORD00059839,PROD01018,Late delivery
RET000862,ORD00059853,PROD01064,Changed mind
RET000864,ORD00059869,PROD01058,Defective product
RET000870,ORD00059991,PROD01020,Wrong item received
RET000875,ORD00060062,PROD01028,Late delivery
RET000877,ORD00060076,PROD01002,Size/compatibility issue
RET000878,ORD00060081,PROD01057,Defective product
RET000894,ORD00060293,PROD01006,Wrong item received
RET000895,ORD00060293,PROD01011,Quality issues
RET000897,ORD00060312,PROD01027,Late delivery
RET000901,ORD00060346,PROD01024,Changed mind
